OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015
16,000501,11001000501,3376,3267,2853,124,7,249,1,33,32,18,64,3,231,2689,122,3,246,1,4,18,9,60,3,3195,2729,114,5,232,1,28,25,17,47,3,201,2585,112,3,229,1,2,13,9,45,3,2186,2027,159,233.38426375,0.36466291,6813.63309926533,944472.612260386,157450900,65919,182269099,68973,196513698,64763.5,210628169,70218,260010497.2,72707,243419505,76949.5
17,000902,11001000902,2092,2021,1861,67,4,77,1,11,28,12,40,2,107,1776,63,3,77,1,5,22,9,37,2,1544,1388,50,1,67,1,7,9,8,16,2,71,1327,48,1,67,1,4,7,6,15,2,862,833,29,538.80195519,0.84187806,8704.28779266295,2180454.16569644,218882503,121032,176273097,113487,226114271,117436,262353665.44,121474.5,282158382,142212,318502754,148690
18,001001,11001001001,7436,7168,6342,298,17,432,2,77,74,33,172,9,512,5925,295,9,427,2,22,61,28,164,8,5918,5097,249,14,365,2,65,38,23,71,8,387,4786,248,9,362,2,13,30,19,67,8,2834,2727,107,606.40178436,0.94750279,6507.90651250441,2454020.97014317,441410751,114136.5,445020421,105423.5,482792403,109646,523214776,110482.5,563657398,128283,567841867,131571
19,001002,11001001002,3442,3329,2788,185,7,311,0,38,35,24,59,6,271,2564,178,5,311,0,9,32,24,56,5,3226,2637,165,7,297,0,33,24,22,44,6,241,2438,159,5,297,0,8,21,20,43,5,2342,2089,253,219.83405344,0.34349071,3952.2785134226,889636.856290747,119559942,74658,134639759,76705,130340038,74072,142883669.4,76636.5,124109798,78338,144272959,79814.5
20,004001,11001004001,3745,3623,3237,139,5,162,8,72,33,26,60,5,345,2999,133,5,162,3,3,28,26,50,5,3486,3034,131,5,157,6,57,26,25,42,5,289,2825,130,5,157,3,2,23,19,40,5,2489,2305,184,68.1625484,0.10650398,2361.33536165059,275844.048415666,203836328,72807,230295472,77629,253288626,74273,262839923,78314.5,242543416,78459.5,269573000,85301.5
21,004002,11001004002,2797,2720,2232,226,4,181,1,76,27,14,44,4,250,2088,209,2,179,1,3,22,12,41,4,2654,2135,209,3,170,1,67,24,15,41,3,227,1998,195,2,168,1,3,19,12,39,3,1916,1762,154,48.45148116,0.07570544,2132.73491150418,196076.1888545,132421749,60460.5,170535365,65155,168856216,62671,182296727.25,65831,157938502,66742,181993123,71996
22,004100,11001004100,2708,2646,2261,115,9,181,3,77,29,13,23,1,259,2090,108,4,180,3,14,27,10,20,1,2482,2099,100,9,166,3,67,18,9,15,1,235,1940,94,4,165,3,10,17,8,13,1,1702,1494,208,201.86855479,0.31541962,3872.49817824405,816933.062280377,403203164,87019,217573711,81283.5,401781124,85405,450959064,89643,447733061,100196,557382746,100885
23,004201,11001004201,3342,3250,2721,240,5,215,0,69,33,20,41,2,266,2544,236,3,214,0,6,28,17,38,2,3222,2638,220,5,210,0,66,30,19,36,1,251,2473,216,3,209,0,6,25,16,33,1,2259,2113,146,50.53509473,0.07896109,1842.64578271264,204508.273887692,144465497,59325,195239173,69112,204654008,64162,221028580,67390,192640010,68708.5,215579124,70930.5
24,004202,11001004202,2771,2688,2281,129,10,216,3,49,19,12,50,7,215,2133,126,6,214,3,7,16,7,47,6,2691,2228,124,9,201,3,46,19,12,48,7,208,2083,121,6,199,3,6,16,7,45,6,1915,1787,128,51.4938138,0.08045908,2102.86114555035,208388.072346607,120039686,60675,165982765,67958,163715989,65293,171191044,70077.5,140618969,65831,168607571,69537
25,004300,11001004300,3255,3164,1849,901,18,157,2,237,38,21,35,4,492,1642,889,12,149,2,6,29,17,32,4,2963,1795,767,13,150,2,159,33,21,29,4,387,1606,756,9,144,2,5,25,17,27,4,2084,1943,141,58.47083608,0.09136068,2045.42560781944,236623.079935932,107576663,47515.5,161937053,56174,146211088,52695,158072679,55500,160486937.03,57442.5,200919104,65979
26,004400,11001004400,4572,4447,2989,1016,24,260,0,158,45,23,61,5,417,2778,982,18,259,0,15,42,20,57,5,4263,2876,886,21,248,0,129,37,24,49,5,366,2683,854,17,247,0,11,36,20,47,5,2651,2493,158,128.91278832,0.20142623,2944.72143683821,521691.548437318,231491287,70297,325184107,77519,289136303,73367,327105530,76068,343052931.87,76726,402398133,82842.5
27,001100,11001001100,4779,4641,4012,290,9,273,6,51,41,18,88,1,306,3773,290,4,268,3,25,32,9,80,0,3980,3355,260,9,243,6,34,20,11,45,1,242,3162,260,4,238,3,13,18,7,38,0,2234,2118,116,414.25397777,0.64727184,5698.76233171609,1676426.38039493,361630195,101389,326529055,88358,410155292,97280,460087019,97640,449192481,113046,480166743,114189.5
28,001200,11001001200,5008,4850,4073,272,18,388,3,96,57,23,76,5,399,3805,263,9,385,3,14,46,22,73,4,4338,3531,239,15,355,3,79,47,21,51,4,350,3293,230,7,352,3,8,38,21,48,3,2633,2516,117,300.99755072,0.47030868,4907.03319175112,1218093.87851016,284024809,79665,304763968,74166.5,315822137,74448,334717360,75515,314255746,91068.5,340349324,89304
29,001301,11001001301,3955,3843,3047,374,7,357,0,58,41,13,67,1,290,2820,367,5,356,0,15,35,12,64,1,3477,2736,317,7,301,0,43,29,15,39,1,252,2534,311,5,301,0,8,25,12,39,1,2156,2030,126,705.11146127,1.10173667,8777.81129340234,2853484.86247428,271817059,76361.5,240485097,66620,333803307,67980,363121417,68904,333910086,76494,403703591,76325
30,001302,11001001302,6857,6672,5596,379,13,595,2,87,40,28,122,9,483,5219,371,7,587,2,21,36,25,115,9,6589,5395,359,13,569,2,84,38,28,106,9,459,5038,351,7,561,2,21,34,23,102,9,5375,4795,580,393.41836004,0.61471619,6378.54780991365,1592107.62646792,319818452,68999,405180643,73585,417821164,69520,443957414,72262,401733884,73354.5,488935701,75148
31,001401,11001001401,3078,2975,2541,178,5,198,0,53,37,15,55,4,210,2394,176,1,198,0,12,36,14,44,4,2419,1992,162,4,173,0,40,17,14,22,4,160,1873,160,1,173,0,9,16,13,19,4,1478,1415,63,194.78101375,0.30434534,4033.37029484113,788250.801150996,230011349,91172.5,207763895,79863.5,255563544,81219,291619848,85111,294699961,102872,298582687,96830.5
32,001402,11001001402,2998,2921,2334,356,5,160,0,66,40,13,34,1,232,2182,350,4,159,0,7,36,8,31,1,2446,1881,316,5,141,0,54,25,11,20,1,189,1754,314,4,140,0,5,23,8,18,1,1612,1472,140,221.18928156,0.34560825,4867.51420398157,895121.269963101,176059601,98926,181523449,102986,186054316,101142.5,208055809.92,109684.5,216714384,120265,226932846.97,122810
33,000502,11001000502,3189,3095,2720,95,15,192,0,73,26,17,56,1,271,2550,89,5,191,0,9,21,13,52,1,2786,2400,85,9,166,0,60,17,13,37,1,223,2258,80,4,165,0,4,15,10,36,1,1774,1643,131,143.67820561,0.2244972,4037.96101367443,581445.072597169,248468359,76777,252908312,75829,280426020,76905,324046430.59,76609,290539572.3,90718.5,316766139.16,89334
34,001803,11001001803,3514,3401,354,2372,7,73,8,587,62,28,14,5,838,190,2340,4,72,8,14,44,27,7,5,2826,277,1988,5,60,5,407,50,25,11,3,581,162,1966,4,59,5,10,36,24,6,3,1612,1543,69,289.17449346,0.45183515,4709.91053116513,1170247.66299615,69030385,25312,76833849,26235,73783877,25460,85008159.3,26127,80454542,27382,86187145,27886.5
35,001804,11001001804,4480,4310,549,2983,20,51,0,707,74,45,18,11,1211,185,2933,8,51,0,22,56,22,17,8,3461,401,2408,15,42,0,471,61,36,10,10,835,153,2368,7,42,0,6,44,21,9,7,1924,1812,112,148.68792038,0.23232488,3404.95340273657,601718.669088252,90687018.37,26365,101095037,26535.5,94000568,27016,101142730,27327,100111583,27144,109529081,28093.5
36,001901,11001001901,4016,3887,424,3023,31,36,3,370,99,56,19,3,625,285,2965,12,29,3,3,87,46,16,3,3190,342,2460,27,30,3,241,64,43,17,3,421,242,2418,11,27,3,2,59,34,14,3,1603,1503,100,190.04120651,0.29693939,3629.65544277249,769069.481664375,89722055.5,36750,96561062,37420,93389146,35486,98715158,38108,110110056,41377,119188692,42401
37,003301,11001003301,3198,3072,959,1998,7,62,4,42,86,38,42,7,125,898,1972,6,62,3,17,80,36,41,7,2828,898,1724,6,61,4,38,64,26,35,7,111,846,1699,6,61,3,15,59,24,35,7,1578,1405,173,108.63021894,0.16973472,3304.15490719572,439610.90178309,94626938,50955.5,118997087,52263,109592464,49060.5,119413477,51581,133621396,60466,152461285,64468
38,003302,11001003302,2134,2054,735,1216,7,41,0,55,57,21,20,0,128,687,1197,7,41,0,2,52,20,19,0,1856,695,1002,7,41,0,51,37,18,17,0,113,654,985,7,41,0,2,34,17,16,0,982,887,95,49.07735171,0.07668336,1890.78562239216,198608.997138154,59721428.37,46371,82445643.83,51120,67070893,46580.5,76544783.24,49236,84411059.95,55925,98091822,61645
39,008804,11001008804,2412,2375,106,2183,7,3,0,76,31,12,12,0,130,68,2167,7,3,0,2,30,12,12,0,1883,87,1706,6,3,0,53,22,11,8,0,87,65,1694,6,3,0,2,21,11,8,0,1396,1096,300,194.50540494,0.3039147,3936.33306408954,787135.451864149,27927495,24539,32464257.52,25106.5,27994707,23754,33989464,23998.5,36934360,26995,42225948,29627
40,008903,11001008903,2633,2591,48,2493,4,7,0,39,38,20,5,1,67,37,2481,3,7,0,5,31,18,5,1,1992,39,1884,4,7,0,29,25,11,2,1,49,31,1877,3,7,0,3,20,10,2,1,1399,1150,249,74.0038484,0.11563101,2991.03481033329,299482.950950931,33732629,25168,50045860,29334,34354171,24295,42943277,25774,54736070,30255,61273301,33866
41,008904,11001008904,3309,3249,33,3170,8,10,1,27,59,30,11,2,61,27,3154,8,10,0,0,48,27,8,1,2569,32,2461,8,8,1,20,38,19,6,1,46,26,2448,8,8,0,0,32,17,5,1,1788,1539,249,112.8069603,0.17626088,3121.43912989049,456513.574479548,31336668.91,23070.5,38466036.9,23445,33444738,23349.5,35689645.63,23597,43140351.51,24356.5,47867201,26051
42,009000,11001009000,2732,2648,113,2431,6,68,0,30,74,31,19,1,76,100,2412,5,68,0,3,64,31,16,1,2430,104,2170,6,58,0,22,62,30,13,1,57,95,2156,5,58,0,2,54,30,11,1,1646,1553,93,359.71954724,0.5620618,5394.27784213405,1455733.36865934,56150253,43111,65837807.73,47746,53740241,41497,61387829,44821,83619685.28,52520,94751459,57961
43,009102,11001009102,4127,4056,117,3820,11,13,0,95,51,20,9,3,173,95,3784,8,13,0,11,40,19,9,3,3039,107,2795,9,12,0,72,30,15,4,3,113,92,2778,7,12,0,7,27,15,4,3,1854,1662,192,453.50399118,0.70859999,6339.30469109017,1835265.55017918,60148337,28156,77312944,28794,64202101,27377,74568845.91,28926,79762070.62,30721.5,89120109.76,31903
44,009201,11001009201,1976,1905,737,1019,4,51,1,93,41,18,21,5,185,666,1006,3,50,1,13,37,14,18,5,1758,718,862,3,48,1,66,33,14,19,4,151,658,849,2,47,1,7,29,10,16,4,619,570,49,158.33793059,0.24740302,3334.44680362479,640770.875124095,28052728.79,37114,45375827.82,38115,31932270,36529.5,41782385.02,37939,56482503,45173,66594041,48118
45,009203,11001009203,2582,2519,280,2117,7,40,2,73,57,22,5,4,167,247,2079,5,34,2,8,36,20,5,4,2109,260,1709,7,33,2,48,44,18,4,4,117,234,1683,5,30,2,4,30,16,4,4,1259,1065,194,145.12115696,0.22675181,3471.34405208145,587284.489541665,48343832,32780,62405590,35161,53291874,32934,57854799,33801,70251210,38854,78432565,41301
46,009204,11001009204,2557,2503,170,2062,25,14,0,232,36,30,5,1,318,130,2044,8,14,0,4,32,26,5,1,2028,159,1638,24,14,0,152,30,23,5,1,216,126,1628,8,14,0,3,26,22,5,1,1369,1292,77,74.8843334,0.11700677,2526.49618621581,303046.147344249,28552707,26231,34706643,26124,29833027,25945,33222221,25277,34168438,26411,37791141,28475
47,007200,11001007200,2794,2709,1670,862,4,144,0,29,38,20,30,6,155,1569,851,3,143,0,3,34,18,30,6,2658,1617,793,4,138,0,29,34,18,27,6,151,1518,782,3,137,0,3,31,17,27,6,2370,1830,540,405.66750252,0.63385548,5365.25713695987,1641678.14768953,107909588,64030,186295174,70045,147535588,70485.5,183471831,74226,197488193,64040,247923152,69664
48,007301,11001007301,3012,2818,1791,767,21,110,13,116,106,26,72,31,391,1605,717,18,102,13,10,87,21,67,29,2064,1293,511,18,81,11,76,38,17,25,12,236,1167,487,15,78,11,5,33,15,23,12,991,812,179,2439.89202307,3.81233131,17862.9884721654,9873892.76213028,1673140,34010,3361568,40680,3109017,38200,3139475,40044.5,2419064,33378.5,4259994,47582
49,007304,11001007304,3546,3513,41,3443,10,7,1,11,32,13,8,2,38,40,3420,9,7,1,3,27,13,8,2,2429,39,2347,6,7,1,10,18,9,4,2,24,38,2333,5,7,1,3,17,9,4,2,1376,1198,178,308.98569001,0.48279014,5527.03845285852,1250420.73146695,36698222,22766,39995849.95,20922,37593142,22045,38956385,21596,42476757.47,22262,46570052,23679
50,007401,11001007401,2414,2393,17,2349,10,5,0,12,21,10,4,1,31,15,2342,8,5,0,0,13,6,4,1,1468,14,1425,7,4,0,8,10,4,1,1,20,12,1422,5,4,0,0,5,3,1,1,935,771,164,357.73777542,0.55896528,6378.84222919123,1447713.42257725,16271306,18377.5,17706306,16504.5,16387522,17011.5,17334402,16731,14011455,17975,15637219,17739
51,007403,11001007403,2859,2835,12,2811,4,7,0,1,24,7,8,0,24,12,2792,2,6,0,0,23,7,8,0,1956,11,1918,3,7,0,1,16,4,6,0,12,11,1910,2,6,0,0,15,4,6,0,1180,1092,88,80.58207072,0.12590949,3174.08157678529,326104.07236817,26534651,24468,27739508,22754,26480238,23187,26796677,22942,27476513,23605,29354682,23579
52,007404,11001007404,3310,3246,41,3165,4,8,0,28,58,34,9,2,64,31,3147,2,8,0,4,52,31,9,2,2100,29,2003,4,7,0,17,37,16,8,2,36,24,1993,2,7,0,2,35,15,8,2,1308,1106,202,199.12405466,0.31113134,4988.2036727504,805826.46422243,35852862,26372,41892503,24785.5,39142259,26176,39740883,25212,42407920,25068,45389701,25906.5
53,007406,11001007406,3063,3028,20,2984,5,2,0,17,35,13,4,3,71,11,2950,5,2,0,4,20,11,2,1,1830,14,1779,3,2,0,11,21,10,3,2,35,10,1764,3,2,0,3,13,9,2,1,1066,985,81,91.35431258,0.14274111,2600.35754692804,369697.788765436,18379045,19594.5,22222673,18214.5,20073849,18103,21564321,18133,23059323,21164,25139415,20219
54,007407,11001007407,2587,2551,32,2499,3,11,0,6,35,14,1,1,36,32,2469,3,11,0,3,33,14,1,1,1850,30,1778,3,7,0,5,26,11,1,1,22,30,1762,3,7,0,2,24,11,1,1,1203,1090,113,150.88896192,0.235764,4692.19311064361,610625.968253566,39030200,30728,43791436,29333.5,39577235,30210,44108527,29089,50949995,30110,56092745,32550
55,007408,11001007408,3038,3010,32,2964,7,4,0,3,28,15,0,1,32,26,2939,7,4,0,2,28,15,0,1,2027,27,1970,6,3,0,3,18,12,0,1,20,24,1954,6,3,0,2,18,12,0,1,1239,1053,186,94.49100834,0.1476422,3911.21186837082,382391.546224026,21984988,20813,22774343,18636,22572738,19635,22553935,19045,23518853,20030,24612841,19793.5
56,007409,11001007409,3499,3455,20,3417,3,6,0,9,44,26,6,0,34,12,3399,3,6,0,4,41,25,6,0,2291,16,2229,2,4,0,9,31,21,5,0,23,10,2219,2,4,0,4,29,20,5,0,1507,1417,90,98.28496087,0.15357025,3046.21080850466,397745.127479349,39191696,24851,40482342,21349.5,41624746,23520,41342314,21925.5,41640347,21652,44912587,23194
57,007502,11001007502,4541,4454,43,4380,4,8,0,19,86,35,22,3,57,34,4357,4,8,0,10,70,30,19,1,3251,41,3121,4,8,0,16,60,24,15,1,41,32,3107,4,8,0,8,50,20,12,1,1898,1677,221,152.14981182,0.23773408,4792.90747871897,615728.446798271,45577412,25027,50022193.2,24720,47562189,24670.5,46735112,24116.5,46799965,23785,49214213,23715
58,004600,11001004600,3028,2929,816,1964,3,97,0,49,60,20,42,7,221,697,1929,3,96,0,7,45,14,36,5,2537,757,1560,3,94,0,39,53,16,35,6,167,668,1533,3,93,0,6,42,11,33,5,1465,1268,197,107.9646249,0.16869473,2900.63183184371,436917.338248073,60318054,36871,93634428,41045,76955521,38515,84837124,39885,95317975,42801,109132266,46092.5
59,004701,11001004701,3986,3919,595,2754,19,530,1,20,45,27,23,4,108,549,2725,13,527,1,3,39,24,23,4,3066,580,1923,17,469,1,20,36,20,21,4,98,536,1900,12,466,1,3,31,18,21,4,2138,2002,136,79.37474624,0.12402304,2917.41257232392,321218.203506362,62945849,27406,104928195,36630,78637972,29027,96427153,32836,106712117,36532.5,145902602,45305
60,004702,11001004702,1802,1742,703,853,0,158,1,27,35,14,21,1,95,659,844,0,158,1,5,24,8,16,1,1647,693,724,0,157,1,21,31,11,17,1,84,649,716,0,157,1,4,22,8,14,1,988,922,66,80.1862984,0.12529109,2950.75809494102,324502.438578914,68048639,59074,106167879,69010,92778875,68605,108357349,67405.5,104919301,61331,138666390,69195
61,004801,11001004801,2143,2045,847,961,9,123,5,100,50,24,50,2,191,776,952,6,123,0,10,48,19,48,2,1934,816,829,9,113,3,80,43,22,41,2,166,752,820,6,113,0,5,41,17,39,2,1208,1078,130,78.44606933,0.12257198,2458.97270141106,317459.981364852,63801222,47244,99227482,52484,76691024,48478,90035901,53570,109555605,60609,122287899,63711
62,004802,11001004802,2922,2845,866,1464,16,369,1,129,48,31,20,1,223,793,1457,9,368,0,6,45,30,18,1,2492,830,1176,13,303,1,106,36,26,19,0,186,767,1171,9,302,0,4,33,24,17,0,1561,1382,179,71.1905918,0.1112353,2192.31760125676,288098.105370579,73241336.7,33975.5,115913258,41981,87920491,37146.5,108590991.38,40512,102577469,40676,119531192,45675
63,004901,11001004901,2087,2036,793,1075,14,94,1,59,30,13,21,0,178,686,1060,12,94,1,16,24,11,21,0,1696,730,794,14,80,1,38,23,12,16,0,128,652,786,12,80,1,5,19,11,16,0,1094,971,123,67.17793143,0.10496552,2112.98851021367,271859.444849674,52574029,35398,77147230,44409,57630673,39410,66056089,43123,107168062,52044,136442151,59090
64,004902,11001004902,2690,2615,1330,812,11,166,6,290,21,9,26,6,468,1193,805,4,166,1,11,16,8,22,6,2354,1281,615,8,162,4,220,18,9,23,5,375,1162,610,3,162,1,5,14,8,20,5,1530,1417,113,65.20095982,0.1018765,2052.2824359682,263858.924567305,98407326,44608.5,123680131,52213.5,116868349,50705,126553450,51963,123848559,53770,141451695,59191.5
65,005001,11001005001,1955,1893,1259,484,3,92,0,55,25,8,30,2,169,1161,474,1,92,0,9,23,8,25,0,1802,1195,429,3,87,0,42,22,8,21,0,140,1108,419,1,87,0,8,20,8,18,0,1003,952,51,50.59006122,0.07904697,2114.9270431772,204730.715388826,94309397,67622,124100006,74090,114164264,69871,126820603,72566.5,122794751,70213,147289866,78133
66,005002,11001005002,6021,5799,3225,1152,33,328,5,1056,75,39,79,4,1676,2737,1120,15,326,4,15,50,27,73,4,5480,3128,1037,27,305,5,790,61,37,63,3,1340,2693,1008,15,303,4,8,42,27,58,3,3853,3475,378,57.69594676,0.09014992,2245.14085106903,233487.214065982,192352559,39733,266261760,53208,250076730,48270.5,278673551,51141,219968978,53829,259592000,59810.5
67,005201,11001005201,6077,5878,4398,775,20,442,19,224,65,47,99,8,612,4079,757,9,438,3,18,58,32,91,8,5811,4305,672,20,429,15,197,56,45,82,7,562,3999,656,9,425,3,16,49,32,78,7,4548,4200,348,83.93588152,0.13114982,2661.84205740219,339676.463215864,268298733,66130,401961716,75149,360312493,70538,397149782,73528,376053670,76106.5,442277202,81647.5
68,005301,11001005301,5051,4902,4121,179,17,455,4,126,37,24,96,4,432,3847,171,7,451,2,16,29,19,92,4,4920,4039,169,16,442,4,116,34,22,84,4,413,3770,163,7,438,2,16,27,17,80,4,3890,3608,282,70.76334226,0.11056772,2322.239748471,286369.087779839,226732166,64826,288225330,72068,295640286,68569,343695487,71067,263936773,70086.5,326386690,76569.5
69,005500,11001005500,6671,6454,5135,628,18,590,1,82,63,37,121,10,493,4752,613,13,586,1,24,58,30,117,10,6476,5000,611,17,574,1,76,57,36,108,10,474,4628,597,13,570,1,18,53,30,106,10,4983,4185,798,157.5255182,0.24613362,3987.96639750257,637483.158809735,333923999,73032,409244354,78901.5,425105796,75480,505477215,77201.5,444403949,80908,536412412,81726
